Label	Comment	Num_Hops	PATH
RedirectedUntilLanded	ja.dbpedia.org	3	['https://ja.dbpedia.org/resource/Category:%E6%97%A5%E6%9C%AC%E5%8F%A4%E4%BB%A3%E5%8F%B2%E5%AD%A6%E8%80%85', 'http://ja.dbpedia.org/page/Category:%E6%97%A5%E6%9C%AC%E5%8F%A4%E4%BB%A3%E5%8F%B2%E5%AD%A6%E8%80%85', 'https://ja.dbpedia.org/page/Category:%E6%97%A5%E6%9C%AC%E5%8F%A4%E4%BB%A3%E5%8F%B2%E5%AD%A6%E8%80%85']
RedirectedUntilLanded	hu.dbpedia.org	3	['http://hu.dbpedia.org/resource/Sablon:N%C3%A9pess%C3%A9g/Tasn%C3%A1dcs%C3%A1ny', 'https://hu.dbpedia.org/resource/Sablon:N%C3%A9pess%C3%A9g/Tasn%C3%A1dcs%C3%A1ny', 'https://hu.dbpedia.org/page/Sablon:N%C3%A9pess%C3%A9g/Tasn%C3%A1dcs%C3%A1ny']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q11269075', 'https://www.wikidata.org/wiki/Special:EntityData/Q11269075', 'https://www.wikidata.org/wiki/Special:EntityData/Q11269075.json']
RedirectedUntilLanded	dbpedia.org	4	['http://dbpedia.org/resource/Rurouni_Kenshin', 'https://dbpedia.org/resource/Rurouni_Kenshin', 'http://dbpedia.org/page/Rurouni_Kenshin', 'https://dbpedia.org/page/Rurouni_Kenshin']
RedirectedUntilLanded	dbpedia.org	7	['https://dbpedia.org/resource/Philip_de_Cro%C3%BF,_Lord_of_Aerschot', 'http://dbpedia.org/page/Philip_de_Cro%C3%BF,_Lord_of_Aerschot', 'https://dbpedia.org/page/Philip_de_Cro%C3%BF,_Lord_of_Aerschot', 'http://dbpedia.org/resource/House_of_Cro%C3%BF', 'https://dbpedia.org/resource/House_of_Cro%C3%BF', 'http://dbpedia.org/page/House_of_Cro%C3%BF', 'https://dbpedia.org/page/House_of_Cro%C3%BF']
RedirectedUntilNotFound	dbpedia.org	3	['https://dbpedia.org/resource/Coupe_de_la_Ligue_(ice_hockey)', 'http://dbpedia.org/page/Coupe_de_la_Ligue_(ice_hockey)', 'https://dbpedia.org/page/Coupe_de_la_Ligue_(ice_hockey)']
RedirectedUntilLanded	ja.dbpedia.org	3	['https://ja.dbpedia.org/resource/%E6%B0%8F%E7%A5%80', 'http://ja.dbpedia.org/page/%E6%B0%8F%E7%A5%80', 'https://ja.dbpedia.org/page/%E6%B0%8F%E7%A5%80']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q12048956', 'https://www.wikidata.org/wiki/Special:EntityData/Q12048956', 'https://www.wikidata.org/wiki/Special:EntityData/Q12048956.json']
RedirectedUntilNotFound	wikidata.org	4	['https://wikidata.org/entity/Q16799215', 'https://www.wikidata.org/entity/Q16799215', 'https://www.wikidata.org/wiki/Special:EntityData/Q16799215', 'https://www.wikidata.org/wiki/Special:EntityData/Q16799215.json']
RedirectedUntilLanded	es.dbpedia.org	4	['http://es.dbpedia.org/resource/D%C3%ADa_internacional_de_la_enfermera', 'https://es.dbpedia.org/resource/D%C3%ADa_internacional_de_la_enfermera', 'http://es.dbpedia.org/page/D%C3%ADa_internacional_de_la_enfermera', 'https://es.dbpedia.org/page/D%C3%ADa_internacional_de_la_enfermera']
RedirectedUntilNotFound	dbpedia.org	6	['http://dbpedia.org/page/Miroslav_Koenig', 'https://dbpedia.org/page/Miroslav_Koenig', 'http://dbpedia.org/resource/Miroslav_K%C3%B6nig', 'https://dbpedia.org/resource/Miroslav_K%C3%B6nig', 'http://dbpedia.org/page/Miroslav_K%C3%B6nig', 'https://dbpedia.org/page/Miroslav_K%C3%B6nig']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q3067827', 'https://www.wikidata.org/wiki/Special:EntityData/Q3067827', 'https://www.wikidata.org/wiki/Special:EntityData/Q3067827.json']
RedirectedUntilTimeout	viaf.org	4	['https://viaf.org/viaf/92852988/', 'https://viaf.org/29550299', 'https://viaf.org/viaf/29550299', 'https://viaf.org/viaf/29550299/']
RedirectedUntilLanded	ja.dbpedia.org	3	['https://ja.dbpedia.org/resource/%E3%82%A4%E3%82%BF%E3%82%A6%E9%8A%80%E8%A1%8C', 'http://ja.dbpedia.org/page/%E3%82%A4%E3%82%BF%E3%82%A6%E9%8A%80%E8%A1%8C', 'https://ja.dbpedia.org/page/%E3%82%A4%E3%82%BF%E3%82%A6%E9%8A%80%E8%A1%8C']
RedirectedUntilLanded	dbpedia.org	5	['https://dbpedia.org/page/Green_Bay_Police_Department_(Wisconsin)', 'http://dbpedia.org/resource/Green_Bay,_Wisconsin', 'https://dbpedia.org/resource/Green_Bay,_Wisconsin', 'http://dbpedia.org/page/Green_Bay,_Wisconsin', 'https://dbpedia.org/page/Green_Bay,_Wisconsin']
RedirectedUntilLanded	wikidata.org	4	['https://wikidata.org/entity/Q4122071', 'https://www.wikidata.org/entity/Q4122071', 'https://www.wikidata.org/wiki/Special:EntityData/Q4122071', 'https://www.wikidata.org/wiki/Special:EntityData/Q4122071.json']
RedirectedUntilNotFound	mpi-inf.mpg.de	3	['https://www.mpi-inf.mpg.de/yago/resource/Broadcast_media_in_Tulsa', 'https://www.mpi-inf.mpg.de/departments/databases-and-information-systems/research/yago-naga/yago/downloads/Broadcast_media_in_Tulsa', 'https://www.mpi-inf.mpg.de/departments/databases-and-information-systems/research/yago-naga/yago/downloads/broadcast_media_in_tulsa']
RedirectedUntilLanded	ja.dbpedia.org	3	['https://ja.dbpedia.org/resource/%E3%82%A2%E3%83%88%E3%83%A0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE', 'http://ja.dbpedia.org/page/%E3%82%A2%E3%83%88%E3%83%A0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE', 'https://ja.dbpedia.org/page/%E3%82%A2%E3%83%88%E3%83%A0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE']
RedirectedUntilLanded	multiple	3	['https://d-nb.info/gnd/18369130X', 'https://d-nb.info/gnd/18369130X/about/html', 'https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=nid%3D18369130X']
RedirectedUntilLanded	ja.dbpedia.org	3	['https://ja.dbpedia.org/resource/%E5%85%89%E3%81%8C%E4%B8%98_(%E7%B7%B4%E9%A6%AC%E5%8C%BA)', 'http://ja.dbpedia.org/page/%E5%85%89%E3%81%8C%E4%B8%98_(%E7%B7%B4%E9%A6%AC%E5%8C%BA)', 'https://ja.dbpedia.org/page/%E5%85%89%E3%81%8C%E4%B8%98_(%E7%B7%B4%E9%A6%AC%E5%8C%BA)']
RedirectedUntilLanded	multiple	3	['https://d-nb.info/gnd/189176334', 'https://d-nb.info/gnd/189176334/about/html', 'https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=nid%3D189176334']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q1409325', 'https://www.wikidata.org/wiki/Special:EntityData/Q1409325', 'https://www.wikidata.org/wiki/Special:EntityData/Q1409325.json']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q15940752', 'https://www.wikidata.org/wiki/Special:EntityData/Q15940752', 'https://www.wikidata.org/wiki/Special:EntityData/Q15940752.json']
RedirectedUntilLanded	dbpedia.org	3	['https://dbpedia.org/resource/Eski_Hissarlik', 'http://dbpedia.org/page/Eski_Hissarlik', 'https://dbpedia.org/page/Eski_Hissarlik']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q4632990', 'https://www.wikidata.org/wiki/Special:EntityData/Q4632990', 'https://www.wikidata.org/wiki/Special:EntityData/Q4632990.json']
RedirectedUntilLanded	bibsonomy.org	3	['https://bibsonomy.org/uri/bibtexkey/conf/ijcai/Brazdil77/dblp', 'https://www.bibsonomy.org/uri/bibtexkey/conf/ijcai/Brazdil77/dblp', 'https://www.bibsonomy.org/bibtexkey/conf/ijcai/Brazdil77/dblp']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q8456137', 'https://www.wikidata.org/wiki/Special:EntityData/Q8456137', 'https://www.wikidata.org/wiki/Special:EntityData/Q8456137.json']
RedirectedUntilNotFound	dbpedia.org	3	['https://dbpedia.org/resource/Nawab_Singh_Chauhan', 'http://dbpedia.org/page/Nawab_Singh_Chauhan', 'https://dbpedia.org/page/Nawab_Singh_Chauhan']
RedirectedUntilLanded	last.fm	3	['http://www.last.fm/user/FFFTheEvilOne/', 'https://www.last.fm/user/FFFTheEvilOne/', 'https://www.last.fm/user/FFFTheEvilOne']
RedirectedUntilLanded	ja.dbpedia.org	3	['https://ja.dbpedia.org/resource/FDR%E3%83%89%E3%83%A9%E3%82%A4%E3%83%96', 'http://ja.dbpedia.org/page/FDR%E3%83%89%E3%83%A9%E3%82%A4%E3%83%96', 'https://ja.dbpedia.org/page/FDR%E3%83%89%E3%83%A9%E3%82%A4%E3%83%96']
RedirectedUntilLanded	wikidata.org	4	['https://wikidata.org/entity/Q1018732', 'https://www.wikidata.org/entity/Q1018732', 'https://www.wikidata.org/wiki/Special:EntityData/Q1018732', 'https://www.wikidata.org/wiki/Special:EntityData/Q1018732.json']
RedirectedUntilLanded	multiple	5	['http://lobid.org/resources/ZDB2041371-3', 'http://ld.zdb-services.de/resource/2041371-3', 'https://ld.zdb-services.de/resource/2041371-3', 'https://ld.zdb-services.de/data/2041371-3.html', 'https://zdb-katalog.de/title.xhtml?zdbid=2041371-3']
RedirectedUntilLanded	dbpedia.org	4	['http://dbpedia.org/resource/Saro_Urz%C3%AC', 'https://dbpedia.org/resource/Saro_Urz%C3%AC', 'http://dbpedia.org/page/Saro_Urz%C3%AC', 'https://dbpedia.org/page/Saro_Urz%C3%AC']
RedirectedUntilLanded	hu.dbpedia.org	3	['http://hu.dbpedia.org/resource/1967-es_FA-kupa-d%C3%B6nt%C5%91', 'https://hu.dbpedia.org/resource/1967-es_FA-kupa-d%C3%B6nt%C5%91', 'https://hu.dbpedia.org/page/1967-es_FA-kupa-d%C3%B6nt%C5%91']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q5885830', 'https://www.wikidata.org/wiki/Special:EntityData/Q5885830', 'https://www.wikidata.org/wiki/Special:EntityData/Q5885830.json']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q9381661', 'https://www.wikidata.org/wiki/Special:EntityData/Q9381661', 'https://www.wikidata.org/wiki/Special:EntityData/Q9381661.json']
RedirectedUntilLanded	multiple	5	['http://lobid.org/resources/ZDB2654222-5', 'http://ld.zdb-services.de/resource/2654222-5', 'https://ld.zdb-services.de/resource/2654222-5', 'https://ld.zdb-services.de/data/2654222-5.html', 'https://zdb-katalog.de/title.xhtml?zdbid=2654222-5']
RedirectedUntilLanded	ja.dbpedia.org	4	['http://ja.dbpedia.org/resource/%E3%83%AC%E3%83%B4%E3%82%A3', 'https://ja.dbpedia.org/resource/%E3%83%AC%E3%83%B4%E3%82%A3', 'http://ja.dbpedia.org/page/%E3%83%AC%E3%83%B4%E3%82%A3', 'https://ja.dbpedia.org/page/%E3%83%AC%E3%83%B4%E3%82%A3']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q10386746', 'https://www.wikidata.org/wiki/Special:EntityData/Q10386746', 'https://www.wikidata.org/wiki/Special:EntityData/Q10386746.json']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q6702261', 'https://www.wikidata.org/wiki/Special:EntityData/Q6702261', 'https://www.wikidata.org/wiki/Special:EntityData/Q6702261.json']
RedirectedUntilLanded	multiple	3	['https://d-nb.info/gnd/103714967X', 'https://d-nb.info/gnd/103714967X/about/html', 'https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=nid%3D103714967X']
RedirectedUntilTimeout	dbpedia.org	4	['http://dbpedia.org/resource/KGTN-LP', 'https://dbpedia.org/resource/KGTN-LP', 'http://dbpedia.org/page/KGTN-LP', 'https://dbpedia.org/page/KGTN-LP']
RedirectedUntilLanded	eu.dbpedia.org	3	['https://eu.dbpedia.org/resource/Ouluko_diozesia', 'http://eu.dbpedia.org/page/Ouluko_diozesia', 'https://eu.dbpedia.org/page/Ouluko_diozesia']
RedirectedUntilLanded	es.dbpedia.org	4	['http://es.dbpedia.org/resource/Categor%C3%ADa:Te%C3%B3logos_anglicanos', 'https://es.dbpedia.org/resource/Categor%C3%ADa:Te%C3%B3logos_anglicanos', 'http://es.dbpedia.org/page/Categor%C3%ADa:Te%C3%B3logos_anglicanos', 'https://es.dbpedia.org/page/Categor%C3%ADa:Te%C3%B3logos_anglicanos']
RedirectedUntilLanded	dbpedia.org	3	['https://dbpedia.org/resource/Cercospora_zonata', 'http://dbpedia.org/page/Cercospora_zonata', 'https://dbpedia.org/page/Cercospora_zonata']
RedirectedUntilLanded	dbpedia.org	3	['https://dbpedia.org/resource/FC_Zvezda_Perm', 'http://dbpedia.org/page/FC_Zvezda_Perm', 'https://dbpedia.org/page/FC_Zvezda_Perm']
RedirectedUntilLanded	multiple	3	['https://d-nb.info/gnd/133467090', 'https://d-nb.info/gnd/133467090/about/html', 'https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=nid%3D133467090']
RedirectedUntilLanded	dbpedia.org	7	['https://dbpedia.org/resource/%C3%89ire_%C3%93g_Anacarty_GAA', 'http://dbpedia.org/page/%C3%89ire_%C3%93g_Anacarty_GAA', 'https://dbpedia.org/page/%C3%89ire_%C3%93g_Anacarty_GAA', 'http://dbpedia.org/resource/%C3%89ire_%C3%93g_Annacarty_GAA', 'https://dbpedia.org/resource/%C3%89ire_%C3%93g_Annacarty_GAA', 'http://dbpedia.org/page/%C3%89ire_%C3%93g_Annacarty_GAA', 'https://dbpedia.org/page/%C3%89ire_%C3%93g_Annacarty_GAA']
RedirectedUntilTimeout	dbpedia.org	5	['https://dbpedia.org/page/Kigali_Province_(Rwanda)', 'http://dbpedia.org/resource/Kigali', 'https://dbpedia.org/resource/Kigali', 'http://dbpedia.org/page/Kigali', 'https://dbpedia.org/page/Kigali']
RedirectedUntilLanded	es.dbpedia.org	3	['https://es.dbpedia.org/resource/Canto_del_arpista', 'http://es.dbpedia.org/page/Canto_del_arpista', 'https://es.dbpedia.org/page/Canto_del_arpista']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q8237840', 'https://www.wikidata.org/wiki/Special:EntityData/Q8237840', 'https://www.wikidata.org/wiki/Special:EntityData/Q8237840.json']
RedirectedUntilLanded	dbpedia.org	3	['https://dbpedia.org/resource/Taining_County', 'http://dbpedia.org/page/Taining_County', 'https://dbpedia.org/page/Taining_County']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q8703351', 'https://www.wikidata.org/wiki/Special:EntityData/Q8703351', 'https://www.wikidata.org/wiki/Special:EntityData/Q8703351.json']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q13038748', 'https://www.wikidata.org/wiki/Special:EntityData/Q13038748', 'https://www.wikidata.org/wiki/Special:EntityData/Q13038748.json']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q15218048', 'https://www.wikidata.org/wiki/Special:EntityData/Q15218048', 'https://www.wikidata.org/wiki/Special:EntityData/Q15218048.json']
